β,method,Converged s = f''(0),Displacement thickness δ* (trapz),Displacement thickness δ* (end-point),Momentum thickness θ,η* (from θ = (s - βη*)/(1+β)),iterations
-0.2,secant,0.007818516631491555,2.2935009579551515,2.293500892551254,0.5643933497551606,2.2184808158631846,50
-0.1,secant,0.3192697614651196,1.4426994369529207,1.4426967763110365,0.5150411451444493,1.442672691648848,3
0.0,secant,0.46959998854606066,1.2167845325927145,1.2167806191819999,0.46959607300577016,,4
0.5,secant,0.9276800399492959,0.8045563410403603,0.804548610195539,0.3502627530824467,0.8045718206512518,4
1.0,secant,1.232587672710685,0.6479091936834007,0.6478989218215334,0.2923317806012244,0.6479241115082363,9
-0.2,newton,-0.02016821241556957,2.427527632118368,2.427527799849612,0.55535434736785,2.3222584515492484,25
-0.1,newton,0.3192697598466488,1.4426994567041522,1.442696796062389,0.5150411610654585,1.4426728511226388,2
0.0,newton,0.46959998836620576,1.2167845349906787,1.216780621579927,0.4695960750685419,,2
0.5,newton,0.9276800398340005,0.8045563457635861,0.80454861491876,0.35026275768099074,0.8045718066250287,2
1.0,newton,1.2325876567280802,0.6479107461568121,0.6479004742932917,0.29233331987724703,0.6479210169735862,3
